day,month,year,date,weekday
9,5,2017,09.05.2017,1
12,6,2017,12.06.2017,0
6,11,2017,06.11.2017,0
1,1,2018,01.01.2018,0
2,1,2018,02.01.2018,1
3,1,2018,03.01.2018,2
4,1,2018,04.01.2018,3
5,1,2018,05.01.2018,4
8,1,2018,08.01.2018,0
23,2,2018,23.02.2018,4
8,3,2018,08.03.2018,3
9,3,2018,09.03.2018,4
30,4,2018,30.04.2018,0
1,5,2018,01.05.2018,1
2,5,2018,02.05.2018,2
9,5,2018,09.05.2018,2
11,6,2018,11.06.2018,0
12,6,2018,12.06.2018,1
5,11,2018,05.11.2018,0
31,12,2018,31.12.2018,0
1,1,2019,01.01.2019,1
2,1,2019,02.01.2019,2
3,1,2019,03.01.2019,3
4,1,2019,04.01.2019,4
7,1,2019,07.01.2019,0
8,1,2019,08.01.2019,1
8,3,2019,08.03.2019,4
1,5,2019,01.05.2019,2
2,5,2019,02.05.2019,3
3,5,2019,03.05.2019,4
9,5,2019,09.05.2019,3
10,5,2019,10.05.2019,4
12,6,2019,12.06.2019,2
4,11,2019,04.11.2019,0
1,1,2020,01.01.2020,2
2,1,2020,02.01.2020,3
3,1,2020,03.01.2020,4
6,1,2020,06.01.2020,0
7,1,2020,07.01.2020,1
8,1,2020,08.01.2020,2
24,2,2020,24.02.2020,0
9,3,2020,09.03.2020,0
30,3,2020,30.03.2020,0
31,3,2020,31.03.2020,1
1,4,2020,01.04.2020,2
2,4,2020,02.04.2020,3
3,4,2020,03.04.2020,4
4,4,2020,04.04.2020,5
5,4,2020,05.04.2020,6
6,4,2020,06.04.2020,0
7,4,2020,07.04.2020,1
8,4,2020,08.04.2020,2
9,4,2020,09.04.2020,3
10,4,2020,10.04.2020,4
11,4,2020,11.04.2020,5
12,4,2020,12.04.2020,6
13,4,2020,13.04.2020,0
14,4,2020,14.04.2020,1
15,4,2020,15.04.2020,2
16,4,2020,16.04.2020,3
17,4,2020,17.04.2020,4
18,4,2020,18.04.2020,5
19,4,2020,19.04.2020,6
20,4,2020,20.04.2020,0
21,4,2020,21.04.2020,1
22,4,2020,22.04.2020,2
23,4,2020,23.04.2020,3
24,4,2020,24.04.2020,4
25,4,2020,25.04.2020,5
26,4,2020,26.04.2020,6
27,4,2020,27.04.2020,0
28,4,2020,28.04.2020,1
29,4,2020,29.04.2020,2
30,4,2020,30.04.2020,3
1,5,2020,01.05.2020,4
4,5,2020,04.05.2020,0
5,5,2020,05.05.2020,1
6,5,2020,06.05.2020,2
7,5,2020,07.05.2020,3
8,5,2020,08.05.2020,4
11,5,2020,11.05.2020,0
12,6,2020,12.06.2020,4
4,11,2020,04.11.2020,2
1,1,2021,01.01.2021,4
4,1,2021,04.01.2021,0
5,1,2021,05.01.2021,1
6,1,2021,06.01.2021,2
7,1,2021,07.01.2021,3
8,1,2021,08.01.2021,4
11,1,2021,11.01.2021,0
12,1,2021,12.01.2021,1
23,2,2021,23.02.2021,1
8,3,2021,08.03.2021,0
3,5,2021,03.05.2021,0
4,5,2021,04.05.2021,1
5,5,2021,05.05.2021,2
6,5,2021,06.05.2021,3
7,5,2021,07.05.2021,4
10,5,2021,10.05.2021,0
14,6,2021,14.06.2021,0
4,11,2021,04.11.2021,3
3,1,2022,03.01.2022,0
4,1,2022,04.01.2022,1
5,1,2022,05.01.2022,2
6,1,2022,06.01.2022,3
7,1,2022,07.01.2022,4
23,2,2022,23.02.2022,2
7,3,2022,07.03.2022,0
8,3,2022,08.03.2022,1
2,5,2022,02.05.2022,0
3,5,2022,03.05.2022,1
9,5,2022,09.05.2022,0
10,5,2022,10.05.2022,1
13,6,2022,13.06.2022,0
4,11,2022,04.11.2022,4
2,1,2023,02.01.2023,0
3,1,2023,03.01.2023,1
4,1,2023,04.01.2023,2
5,1,2023,05.01.2023,3
6,1,2023,06.01.2023,4
23,2,2023,23.02.2023,3
24,2,2023,24.02.2023,4
8,3,2023,08.03.2023,2
1,5,2023,01.05.2023,0
8,5,2023,08.05.2023,0
9,5,2023,09.05.2023,1
12,6,2023,12.06.2023,0
6,11,2023,06.11.2023,0
1,1,2024,01.01.2024,0
2,1,2024,02.01.2024,1
3,1,2024,03.01.2024,2
4,1,2024,04.01.2024,3
5,1,2024,05.01.2024,4
8,1,2024,08.01.2024,0
23,2,2024,23.02.2024,4
8,3,2024,08.03.2024,4
29,4,2024,29.04.2024,0
30,4,2024,30.04.2024,1
1,5,2024,01.05.2024,2
9,5,2024,09.05.2024,3
10,5,2024,10.05.2024,4
12,6,2024,12.06.2024,2
4,11,2024,04.11.2024,0
30,12,2024,30.12.2024,0
31,12,2024,31.12.2024,1
1,1,2025,01.01.2025,2
2,1,2025,02.01.2025,3
3,1,2025,03.01.2025,4
6,1,2025,06.01.2025,0
7,1,2025,07.01.2025,1
24,2,2025,24.02.2025,0
10,3,2025,10.03.2025,0
1,5,2025,01.05.2025,3
2,5,2025,02.05.2025,4
9,5,2025,09.05.2025,4
12,6,2025,12.06.2025,3
13,6,2025,13.06.2025,4
4,11,2025,04.11.2025,1
1,1,2026,01.01.2026,3
2,1,2026,02.01.2026,4
5,1,2026,05.01.2026,0
6,1,2026,06.01.2026,1
7,1,2026,07.01.2026,2
8,1,2026,08.01.2026,3
23,2,2026,23.02.2026,0
1,5,2026,01.05.2026,4
12,6,2026,12.06.2026,4
4,11,2026,04.11.2026,2
